timestamp,sensorIndex,rh_percent,sht_temp_c,baro_temp_c,baro_pressure_pa,thermistor_temp_c
2025-08-12 14:28:20.708,1,25.70,36.53,36.51,98883.00,36.36
2025-08-12 14:28:20.788,3,30.25,36.18,36.23,98980.00,35.35
2025-08-12 14:28:21.207,1,25.73,36.50,36.50,98881.00,36.33
2025-08-12 14:28:21.287,3,30.24,36.15,36.25,98979.00,35.35
2025-08-12 14:28:21.707,1,25.72,36.51,36.49,98881.00,36.30
2025-08-12 14:28:21.787,3,30.23,36.18,36.26,98977.00,35.35
2025-08-12 14:28:22.207,1,25.71,36.53,36.49,98881.00,36.36
2025-08-12 14:28:22.286,3,30.25,36.18,36.26,98976.00,35.35
2025-08-12 14:28:22.707,1,25.77,36.54,36.51,98881.00,36.36
2025-08-12 14:28:22.787,3,30.27,36.20,36.27,98981.00,35.35
2025-08-12 14:28:23.207,1,25.77,36.59,36.52,98883.00,36.41
2025-08-12 14:28:23.287,3,30.25,36.19,36.27,98978.00,35.38
2025-08-12 14:28:23.707,1,25.82,36.62,36.54,98878.00,36.41
2025-08-12 14:28:23.787,3,30.25,36.18,36.28,98978.00,35.38
2025-08-12 14:28:24.207,1,25.80,36.69,36.56,98879.00,36.53
2025-08-12 14:28:24.287,3,30.27,36.20,36.28,98978.00,35.38
2025-08-12 14:28:24.707,1,25.81,36.71,36.59,98881.00,36.56
2025-08-12 14:28:24.787,3,30.25,36.18,36.29,98979.00,35.38
2025-08-12 14:28:25.207,1,25.82,36.73,36.60,98880.00,36.59
2025-08-12 14:28:25.287,3,30.27,36.19,36.29,98979.00,35.38
2025-08-12 14:28:25.707,1,25.79,36.72,36.60,98881.00,36.53
2025-08-12 14:28:25.788,3,30.28,36.18,36.29,98979.00,35.26
2025-08-12 14:28:26.207,1,25.74,36.67,36.58,98878.00,36.47
2025-08-12 14:28:26.287,3,30.24,36.22,36.30,98979.00,35.38
2025-08-12 14:28:26.707,1,25.71,36.63,36.57,98881.00,36.44
2025-08-12 14:28:26.789,3,30.26,36.23,36.30,98978.00,35.40
2025-08-12 14:28:27.207,1,25.65,36.57,36.55,98881.00,36.41
2025-08-12 14:28:27.287,3,30.26,36.22,36.31,98979.00,35.40
2025-08-12 14:28:27.707,1,25.71,36.60,36.55,98881.00,36.38
2025-08-12 14:28:27.787,3,30.26,36.22,36.31,98980.00,35.40
2025-08-12 14:28:28.207,1,25.70,36.64,36.56,98881.00,36.50
2025-08-12 14:28:28.287,3,30.32,36.23,36.32,98979.00,35.40
2025-08-12 14:28:28.707,1,25.69,36.63,36.57,98880.00,36.47
2025-08-12 14:28:28.789,3,30.34,36.24,36.32,98979.00,35.40
2025-08-12 14:28:29.207,1,25.69,36.63,36.56,98881.00,36.47
2025-08-12 14:28:29.287,3,30.32,36.23,36.32,98980.00,35.40
2025-08-12 14:28:29.707,1,25.69,36.59,36.55,98879.00,36.41
2025-08-12 14:28:29.787,3,30.32,36.24,36.33,98979.00,35.40
2025-08-12 14:28:30.207,1,25.70,36.59,36.54,98880.00,36.41
2025-08-12 14:28:30.287,3,30.36,36.26,36.33,98978.00,35.43
2025-08-12 14:28:30.707,1,25.72,36.54,36.53,98883.00,36.38
2025-08-12 14:28:30.787,3,30.34,36.23,36.33,98978.00,35.43
2025-08-12 14:28:31.207,1,25.70,36.57,36.52,98880.00,36.38
2025-08-12 14:28:31.287,3,30.40,36.26,36.34,98977.00,35.43
2025-08-12 14:28:31.707,1,25.70,36.55,36.53,98877.00,36.41
2025-08-12 14:28:31.787,3,30.43,36.25,36.34,98977.00,35.43
2025-08-12 14:28:32.207,1,25.73,36.53,36.52,98880.00,36.41
2025-08-12 14:28:32.287,3,30.42,36.28,36.34,98978.00,35.43
2025-08-12 14:28:32.707,1,25.76,36.51,36.52,98879.00,36.38
2025-08-12 14:28:32.787,3,30.44,36.24,36.35,98980.00,35.43
2025-08-12 14:28:33.207,1,25.76,36.54,36.52,98878.00,36.41
2025-08-12 14:28:33.287,3,30.45,36.27,36.35,98977.00,35.43
2025-08-12 14:28:33.707,1,25.75,36.57,36.53,98880.00,36.41
2025-08-12 14:28:33.787,3,30.51,36.26,36.36,98978.00,35.32
2025-08-12 14:28:34.207,1,25.82,36.65,36.55,98882.00,36.53
2025-08-12 14:28:34.287,3,30.48,36.26,36.36,98980.00,35.46
2025-08-12 14:28:34.707,1,25.82,36.80,36.61,98879.00,36.67
2025-08-12 14:28:34.787,3,30.52,36.27,36.36,98979.00,35.46
2025-08-12 14:28:35.207,1,25.79,36.80,36.64,98881.00,36.65
2025-08-12 14:28:35.289,3,30.53,36.27,36.37,98977.00,35.46
2025-08-12 14:28:35.707,1,25.78,36.77,36.64,98884.00,36.59
2025-08-12 14:28:35.787,3,30.54,36.30,36.37,98978.00,35.46
2025-08-12 14:28:36.207,1,25.75,36.78,36.64,98884.00,36.65
2025-08-12 14:28:36.287,3,30.62,36.29,36.38,98981.00,35.46
2025-08-12 14:28:36.707,1,25.70,36.81,36.65,98885.00,36.73
2025-08-12 14:28:36.787,3,30.62,36.30,36.38,98979.00,35.46
2025-08-12 14:28:37.207,1,25.69,36.77,36.65,98885.00,36.65
2025-08-12 14:28:37.289,3,30.59,36.27,36.38,98979.00,35.46
2025-08-12 14:28:37.707,1,25.64,36.72,36.63,98884.00,36.59
2025-08-12 14:28:37.787,3,30.60,36.30,36.38,98979.00,35.46
2025-08-12 14:28:38.207,1,25.69,36.69,36.60,98884.00,36.53
2025-08-12 14:28:38.287,3,30.61,36.31,36.39,98979.00,35.46
2025-08-12 14:28:38.707,1,25.68,36.76,36.61,98882.00,36.62
2025-08-12 14:28:38.787,3,30.61,36.29,36.40,98980.00,35.46
2025-08-12 14:28:39.207,1,25.67,36.81,36.64,98881.00,36.70
2025-08-12 14:28:39.289,3,30.59,36.32,36.40,98979.00,35.49
2025-08-12 14:28:39.706,1,25.62,36.72,36.64,98884.00,36.62
2025-08-12 14:28:39.786,3,30.61,36.30,36.40,98977.00,35.49
2025-08-12 14:28:40.206,1,25.62,36.61,36.59,98880.00,36.53
2025-08-12 14:28:40.286,3,30.62,36.31,36.40,98976.00,35.49
2025-08-12 14:28:40.706,1,25.57,36.52,36.54,98880.00,36.44
2025-08-12 14:28:40.786,3,30.62,36.32,36.41,98979.00,35.49
2025-08-12 14:28:41.206,1,25.59,36.47,36.49,98879.00,36.38
2025-08-12 14:28:41.286,3,30.62,36.32,36.41,98979.00,35.49
2025-08-12 14:28:41.706,1,25.61,36.42,36.46,98879.00,36.36
2025-08-12 14:28:41.786,3,30.62,36.32,36.42,98977.00,35.38
2025-08-12 14:28:42.206,1,25.63,36.38,36.44,98880.00,36.30
2025-08-12 14:28:42.286,3,30.64,36.34,36.42,98976.00,35.49
2025-08-12 14:28:42.706,1,25.69,36.33,36.41,98881.00,36.27
2025-08-12 14:28:42.786,3,30.62,36.32,36.42,98979.00,35.49
2025-08-12 14:28:43.206,1,25.75,36.30,36.38,98880.00,36.21
2025-08-12 14:28:43.286,3,30.60,36.33,36.43,98978.00,35.49
2025-08-12 14:28:43.706,1,25.74,36.30,36.36,98879.00,36.18
2025-08-12 14:28:43.788,3,30.64,36.32,36.43,98978.00,35.49
2025-08-12 14:28:44.206,1,25.83,36.43,36.40,98879.00,36.36
2025-08-12 14:28:44.286,3,30.59,36.33,36.43,98979.00,35.49
2025-08-12 14:28:44.706,1,25.86,36.39,36.41,98885.00,36.30
2025-08-12 14:28:44.786,3,30.57,36.35,36.44,98979.00,35.49
2025-08-12 14:28:45.206,1,25.87,36.39,36.40,98883.00,36.30
2025-08-12 14:28:45.286,3,30.57,36.34,36.44,98980.00,35.49
2025-08-12 14:28:45.706,1,25.87,36.31,36.37,98883.00,36.24
2025-08-12 14:28:45.788,3,30.55,36.34,36.44,98979.00,35.52
2025-08-12 14:28:46.206,1,25.82,36.27,36.34,98882.00,36.18
2025-08-12 14:28:46.286,3,30.55,36.34,36.45,98980.00,35.52
2025-08-12 14:28:46.706,1,25.82,36.27,36.32,98881.00,36.18
2025-08-12 14:28:46.786,3,30.56,36.34,36.45,98979.00,35.52
2025-08-12 14:28:47.206,1,25.88,36.26,36.31,98880.00,36.18
2025-08-12 14:28:47.286,3,30.51,36.36,36.45,98978.00,35.55
2025-08-12 14:28:47.706,1,25.87,36.26,36.30,98882.00,36.18
2025-08-12 14:28:47.786,3,30.52,36.38,36.46,98981.00,35.55
2025-08-12 14:28:48.206,1,25.91,36.27,36.31,98879.00,36.18
2025-08-12 14:28:48.286,3,30.48,36.38,36.46,98977.00,35.55
2025-08-12 14:28:48.706,1,25.90,36.24,36.30,98884.00,36.12
2025-08-12 14:28:48.786,3,30.48,36.37,36.46,98980.00,35.55
2025-08-12 14:28:49.206,1,25.92,36.19,36.28,98881.00,36.09
2025-08-12 14:28:49.286,3,30.43,36.36,36.47,98978.00,35.55
2025-08-12 14:28:49.706,1,25.90,36.18,36.26,98883.00,36.07
