Profile Data:
Time                    	UTC Time               	P                  	T   	 	Hu 	Ws   	Wd 	Geopot	Dewp.
[sec]                   	[HH:mm:ss]             	[hPa]              	[°C]	 	[%]	[m/s]	[°]	[m]   	[°C]
0                       	23:22:22               	987.0              	32.6	 	23 	3.0  	001	195   	8.8
1                       	23:22:23               	986.4              	34.8	 	23 	3.1  	294	202   	10.6
2                       	23:22:24               	985.8              	37.0	 	23 	3.1  	294	209   	12.5
3                       	23:22:25               	985.2              	37.3	 	23 	3.1  	294	216   	12.8
4                       	23:22:26               	984.7              	37.3	 	23 	3.1  	294	223   	12.7
5                       	23:22:27               	984.1              	37.2	 	23 	3.1  	294	230   	12.7
6                       	23:22:28               	983.5              	37.2	 	23 	3.1  	294	237   	12.7
7                       	23:22:29               	982.9              	37.2	 	23 	4.0  	296	244   	12.7
8                       	23:22:30               	982.3              	37.2	 	23 	4.0  	296	251   	12.7
9                       	23:22:31               	981.7              	37.0	 	23 	4.0  	296	256   	12.6
10                      	23:22:32               	981.1              	36.8	 	23 	4.0  	296	260   	12.5
11                      	23:22:33               	980.5              	36.7	 	23 	4.0  	296	263   	12.3
12                      	23:22:34               	980.0              	36.6	 	23 	4.0  	296	266   	12.0
13                      	23:22:35               	979.4              	36.5	 	22 	4.0  	296	270   	11.7
14                      	23:22:36               	978.8              	36.4	 	22 	4.0  	296	273   	11.3
15                      	23:22:37               	978.2              	36.1	 	22 	4.0  	296	277   	10.8
16                      	23:22:38               	977.6              	36.0	 	21 	4.0  	296	281   	10.5
17                      	23:22:39               	977.2              	36.1	 	21 	4.0  	296	285   	10.5
18                      	23:22:40               	976.8              	36.3	 	21 	4.0  	296	289   	10.5
19                      	23:22:41               	976.4              	36.3	 	21 	3.9  	296	293   	10.4
20                      	23:22:42               	976.0              	36.2	 	21 	3.9  	295	297   	10.3
21                      	23:22:43               	975.6              	36.2	 	21 	3.9  	295	300   	10.3
22                      	23:22:44               	975.2              	36.2	 	21 	3.9  	295	304   	10.3
23                      	23:22:45               	974.8              	36.2	 	21 	3.8  	295	308   	10.4
24                      	23:22:46               	974.4              	36.2	 	21 	3.8  	295	311   	10.3
25                      	23:22:47               	973.9              	36.1	 	21 	3.8  	295	315   	10.2
26                      	23:22:48               	973.5              	36.0	 	21 	3.8  	295	319   	10.1
27                      	23:22:49               	973.1              	36.0	 	21 	3.8  	295	323   	10.2
28                      	23:22:50               	972.7              	36.0	 	21 	3.8  	295	327   	10.3
29                      	23:22:51               	972.3              	36.1	 	21 	3.8  	294	331   	10.3
30                      	23:22:52               	971.8              	36.0	 	21 	3.8  	294	335   	10.3
31                      	23:22:53               	971.4              	35.9	 	21 	3.8  	294	339   	10.2
32                      	23:22:54               	971.0              	35.8	 	21 	3.8  	294	343   	10.1
33                      	23:22:55               	970.5              	35.7	 	21 	3.8  	294	347   	10.0
34                      	23:22:56               	970.1              	35.7	 	21 	3.8  	294	352   	10.0
35                      	23:22:57               	969.6              	35.6	 	21 	3.8  	294	356   	10.0
36                      	23:22:58               	969.2              	35.6	 	21 	3.8  	294	360   	10.0
37                      	23:22:59               	968.7              	35.5	 	21 	3.8  	294	364   	10.0
38                      	23:23:00               	968.3              	35.5	 	21 	3.8  	294	369   	10.0
39                      	23:23:01               	967.8              	35.5	 	21 	3.8  	294	373   	10.0
40                      	23:23:02               	967.4              	35.5	 	21 	3.8  	294	377   	10.2
41                      	23:23:03               	966.9              	35.5	 	22 	3.8  	294	382   	10.2
42                      	23:23:04               	966.4              	35.5	 	22 	3.8  	294	386   	10.2
43                      	23:23:05               	965.9              	35.4	 	22 	3.8  	294	390   	10.1
44                      	23:23:06               	965.4              	35.3	 	22 	3.7  	294	395   	10.0
45                      	23:23:07               	964.9              	35.2	 	22 	3.7  	295	400   	10.0
46                      	23:23:08               	964.5              	35.2	 	22 	3.7  	296	404   	10.0
47                      	23:23:09               	963.9              	35.2	 	22 	3.6  	296	409   	10.1
48                      	23:23:10               	963.4              	35.1	 	22 	3.6  	297	414   	10.1
49                      	23:23:11               	962.9              	35.0	 	22 	3.5  	297	419   	10.0
